cafe_id,advertiser_id,scan_rate,foot_traffic_norm,packaging_volume_norm,impression_score,distance_km,distance_norm,suburb_match,postcode_match,within_radius,age_match,income_match,population_density,tag_relevance,num_tags,industry_0,industry_1,industry_2,industry_3,industry_4,industry_5,industry_6,industry_7,industry_8,industry_9,location_volume_synergy,demo_relevance_synergy,perfect_match
7,adv4,2.859244165061095,1.25,1.28,1.2650000000000001,71.12606893403648,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,adv3,2.651784724602131,0.875,0.88,0.8775,2.3024300448959587,0.9539513991020808,0.0,0.0,0.0,1.0,0.5,0.5617,0.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370923527120758,0.0,0.0
3,adv5,3.2282519222157644,0.875,0.88,0.8775,71.12606893403648,0.0,0.0,0.0,0.0,1.0,1.0,0.5617,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,adv5,2.1667205931573292,0.7,0.64,0.6699999999999999,74.51768378781301,0.0,0.0,0.0,0.0,0.9,0.5,0.39,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adv4,6.204264340624361,1.05,1.12,1.085,4.739158379500065,0.9052168324099987,0.0,0.0,0.0,1.0,0.75,0.6411,0.2,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821602631648486,0.17500000000000002,0.0
7,adv2,1.4374694539592057,1.25,1.28,1.2650000000000001,70.23459041117177,0.0,0.0,0.0,0.0,0.09999999999999998,0.75,1.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,adv4,5.4881024523872615,0.95,1.0,0.975,5.375183748992898,0.8924963250201421,0.0,0.0,0.0,1.0,0.75,0.24,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8701839168946385,0.0,0.0
4,adv4,5.149518816797544,0.75,0.72,0.735,3.224554904639276,0.9355089019072145,0.0,0.0,1.0,1.0,0.75,0.27,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875990429018026,0.0,0.0
8,adv1,5.99696276571859,0.95,1.0,0.975,3.0898027132599157,0.9382039457348017,0.0,1.0,1.0,1.0,1.0,0.24,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9147488470914317,0.0,0.0
5,adv1,5.502212496275849,1.625,1.6,1.6125,3.8905671138768447,0.9221886577224632,0.0,0.0,1.0,1.0,0.25,0.5917,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4870292105774718,0.0,0.0
